review,sentiment
"Well, first of all, excuse me for the lame pun in the title. I was browsing for movies to rent the other day and saw this. I heard something about this so I picked it up and looked on the back and there was a short little review blurb on it from John Fallon AKA Arrow in the Head! At that moment I thought ""Well if he likes it then I gotta like it!"" So I rented it and just finally got around to watching it last night (college keeps me so busy). Oh and I might wanna add that I read a little of Arrow's review and it turns out that out of 4 stars he gave it 1 and a half. So my expectations from this movie went from very high to iffy. Well after watching this, I once again agree with Arrow (and turns out that quote from the review was the only positive thing he said about that!) Wow, did this film stink or what? Where do I begin with why it did so? Well, the film was so dull in my opinion. Not even the cool gore bits excited me and when a decapitation doesn't excite you in a movie, that's bad! The characters I hated a lot and from the beginning I could tell who would die and who wouldn't. Actually the film proved me wrong at some points, but the worst thing is that one particular character I wanted to die didn't! What the heck? And the chemistry between the main girl and the guy she met? Didn't feel it. He obviously was just there to be eye candy and give her a love interest, otherwise I thought he was a waste! And as a horror fan I should know that doing the ""dumb horror movie"" sometimes gotta happen or else there wouldn't be much of a movie, but the ones in here ticked me off! Hello? Why are you making out in the room of the killer nun when you should be on the lookout from her? And it was done by the supposedly smarter characters no less. The twist....ah, it would have been alright, if it hadn't been done a billion times and I didn't have to sit through this wast of film to reach that point! My main point: Stupid movie that sucked me in with some words of my favorite (actually my only favorite) movie critic. Jerks!",negative
"I saw this movie when it was first released and thoroughly enjoyed it. What a movie. I am in my 40s now and have 2 teenage kids and I would like them to see this movie. I would recommend it to anyone who loves a romance movie or older Elton John music.I have searched most of the stores that sell both new and old movies but have not come across any.I bought some old movies like "" Melody"" in Hong Kong, who had quite a collection of old movie, but they did not have this. I am also looking at the sequel, Paul & Michelle.Can anyone please tell me how to get a copy of the VHS or DVD or VCD.Really appreciate it.Many Thanks.",positive
"I wasn't expecting to much of this movie when I went into the theater but I had been waiting for it for many years. To sum it up, it was pretty damn good! Chad Michael Murray was pretty good, I thought he was going to be another Chris Flynn from Wrong Turn but I was wrong. Elisha Cuthbert was also good but the best performance has to go to Brian Van Holt. He played the bad guy too well, I mean he was sick, sadistic, and very cruel. The back story between the brothers was good, plus I liked how no killings took place until about 40 minutes into the film. It gave you time to pick the character you wanted to see live and the one you wanted to see die. Jon Abrahams was pretty good as the goofy best bud of CMM. I liked how Chad kind of cried when he found him dead, it was better then just him being like, ""Whatever, my buddy is dead, who cares"". It showed how he really cared. So overall, this was a darn god slasher with some great effects. Bravo!",positive
"Having seen this without knowing all the hoopla surrounding the lead character, indeed without even knowing that it was based on real-life events, I must say I am impressed. ""Murder in Greenwich"" is an above average production for a made-for-TV movie - the acting is uniformly great, Christopher Meloni in particular putting in a stand-out performance and the teen actors excel in what are difficult roles. The idea of the dead girl narrating the movie is a stroke of genius which elevates the movie from merely good to excellent. The script is exemplary for what is essentially movie-of-the-week fodder and the cinematography is beautiful.",positive
"I will never forget this film or the events that lead up to Jonestown in Guyana. It just seems so tragic but needs to be told. Powers Boothe give a commanding performance as the leader Rev. Jim Jones from obscurity until total madness. It would have won him an Academy Award easily if it was released in the movie theaters. It is the kind of mini-series you won't forget. You won't forget the images of the cult's brutality, control, and obsessiveness of it's leader. His rise and fall and the threat from the outside world to destroy what he considered to be paradise. The mass suicide is horrifying, almost unreal to anybody's imagination as to why so many people (900+) went willingly or resisted JOnes' orders. They don't make mini series like these anymore where we're left with out mouths open and hungry to know what happened to the others.",positive
"I didn't know what to expect from this hugely popular (and hilarious) Swedish comedy & satire team, as they released their first feature film. More broad satire? Well, we do get four contemporary, exceptionally memorable tales of family pains, generation gaps and fatherhood, in particular. But it's drama, thankfully, and what drama! Epic in its scope, as each episode is from carefully picked, geographically different parts of Sweden. But each story could seriously carry a whole movie, if expanded separately.It's dark, twisted, harrowing, yet massively entertaining and breathtakingly executed. Script, acting and cinematography are absolute world class, as three hours seem to get by in a blink! It's four shades of mastery, and easily one of the best films in the nations' cinema history. It's Sweden's answer to ""Short cuts"" or ""Magnolia"", if you like, and instantly on par with those!9 out of 10 from Ozjeppe",positive
"It is very possible that I simply didn't give the movie a fair enough chance because it was so immediately unappealing to me (something similar happened with Triplets of Belleville), but I really should have caught on when I put the film on and my roommate, an exchange student from Japan, immediately started laughing at the movie, saying that it sounded dumb. Now, I don't agree that it is dumb, the animation is very simple but clearly very skilled. It's like classic animation with added layers that add another element of realism to them while remaining strictly in the realm of the surreal at the same time.But the subject matter is entirely unappealing to me. It has an interesting message about stinginess and greed, but it is wrapped in such an unpleasant package that it is almost not worth learning, especially because you already knew it anyway. The sound effects while the man is loudly gobbling cherries and cherry pits, for example, are indeed repulsive.There was a clever scene of animation as we kept diving endlessly into the hole that the man finds in his head when he pulls the sapling out of his scalp, but it goes on for so long that it seems to overshadow everything else. There is so much stock put into that one sequence that it is almost like the whole movie is about it.As I said about Triplets of Belleville, this would have been a great thing for a late night TV program like adult swim, or its Japanese counterpart, but an Academy Award nominated film? It gives me the impression that there is not generally a long list of animated short films for the Academy to choose from.",negative
"For a long time, this was my favorite of the Batman films. It had the best cinematography and an edgy feel to it with two wild characters - Catwomen and The Penguin - along with the always-interesting Christopher Walken. However, after the last viewing it finally slipped in my ratings and, frankly, I now prefer the last Batman: Batman Begins, with Christian Bale.THE GOOD - Nonetheless, this is still the most intriguing of the five latter-day Batman films. The stylish cinematography in here is the best of any of the Batman movies. Director Tim Burton is known for his films which feature stunning visuals, as this is a great example. The three characters listed above are all very different and very interesting, almost fascinating. Of the villains, I preferred Catwomen, finding her the most fun to watch before and after she changed. Violence is not overdone here as it was in several of the other Batman stories but one is never bored watching this. As he did in the first film, Michael Keaton does a fine job playing Batman/Bruce Wayne.THE BAD - For a movie based on a comic strip that mostly kids read, I still think these first two Batman movies, both done by Burton, were too dark and the profanity was definitely not appropriate. Although, unlike the first movie, there was no usage of the Lord's name in vain in here, there still was profanity and both villains made too many sexual remarks. That would have been okay if they hadn't marketed this film for kids as well as adults. Danny DeVito's ""Penguin"" is downright gross in spots. ""Grotesque"" I can handle, but who wants ""gross."" Few guys, meanwhile, complained about the beautiful Michelle Pfeiffer playing Catwoman. Generall too much darkness and some cheap shots on Christian- bashing also made me re-consider my previously-high rating of this film.OVERALL - Fabulous visuals and memorable characters make this the most interesting in the Batman series, but too-dark an edge, too gross and too much anti-religious bias all finally turned me off after a half-dozen looks at this film. Sorry, but I prefer a kinder-gentler Batman movie. After all, it's just a cartoon. Most will disagree, but I was glad to see the series lighten up after this one.",positive
"Sequels have a nasty habit of being disappointing, and the best credit I can give this is that it maintains that old tradition. These three tales aren't anything as good as any from the original Creepshow.By far the best of the trio involves a wooden idol which comes to life to take revenge on the thugs who killed its owners. The second story is about a lake monster which seems to be nothing more than a lot of floating slop, makes you wonder how anybody could possibly be scared of it. The third story includes a cameo from Stephen King as a truck driver, but other than that is a pretty unmemorable tale concerning the victim of a road traffic accident who comes back from the dead for the person who knocked him down.Watch the original Creepshow instead, or if you already have done then be happy with that.",negative
"I laughed so much when I saw this film I nearly soiled myself !. Awful acting, laughable effects (super imposed explosions), and dodgy slow motion fighting.One of the worst films I've ever seen !.",negative
"First off, let me say I wasted Halloween movie night by watching this garbage. Second, let me inform you that the current DVD available by Shriek Show is not uncut, so you gore hounds will be very upset. Third, that one scene is the highlight of the film and since it's been cut, well, you see where I'm going.I know a lot of horror fans dig this movie. It is atmospheric, shot in the woods with some very nice scenery, waterfalls and such. But after the opening kill, which has a very brutal shot of a machete being jammed through a hunter's crotch, you get no real brutal kills after that. And, with a slasher movie, you sort of want that. At least, I do. The director and co. do nothing new with the killer in the woods idea, several of this type of movie were all made right around the same time in the very early eighties. The only thing this has going for it is that you don't hate the actors as much as you might in other films. They are sort of likable. The kids have a reason for being there: one of them owns a deed to some property on the mountain. But what is not explained is why his family has property there. There is no cabin or house, so why buy property in East Jesus, especially if you aren't a hunter or whatnot? Well, I'm sure some people do buy land for camping purposes, but that just seems unusual. Anyway, two squealing backwoods inbreds show up and start stalking the campers and picking them off one by one. And, as I said before, you get pretty much nothing in the way of decent deaths after the machete kill in the beginning. The ending has a sort of off the wall kill by Connie, but even that isn't enough to save this from being almost equal with the completely forgettable film, The Forest, which is mind-numbing.If Shriek Show had been able to get a real uncut print, then this review might have been a little more forgiving, but this is the day and age of uncut/unrated DVD releases of old obscure films for cine-hounds like me. When you slight us, you get the crud review. Sadly, the presence of the great fatherly George Kennedy is the only highlight of this movie to set it apart from the other garden variety trash that was churned out back in the day.",negative
"Absolutely laughable film. I live in London and the plot is so ill-researched it's ridiculous. No one could be terrorised on the London Underground. In the short time it is not in service each night there are teams of maintenance workers down there checking the tracks and performing repairs, etc. That there are homeless people living down there is equally unlikely. Or that it's even possible to get locked in and not have access to a mobile phone in this day and age...The worst that's likely to happen if someone did find themselves there after the last train is that they might get graffiti sprayed on them. Although this has been coming under control due to the massive number of security cameras on the network, another thorn in the side of the story. (Remember in London as a whole we have more security cameras than any other city in the world.)If it had been set in a city I am not familiar with perhaps I could have enjoyed it through ignorance, but it's not a high quality film so I just couldn't bring myself to suspend my disbelief and try and enjoy it for the banal little tale that it is.I would have given it 0/10 if such a rating existed! Possibly the most disappointing film I ever thought I would like.",negative
"I honestly expected more from this movie. That may have been the problem. There was not one time when the camera was still - ever. On close ups, the camera shakes, the subjects move, and I get a headache. The cuts are so often and so fast, that the viewer often finds himself/herself wondering what just happened. (LOOK OUT, SPOILER ALERT) And at the end of the movie, when you expect to have a happy ending after being put through so much useless thought to comprehend what is going on, they end up losing. To me, this was a basically terrible movie, wrecked by a camera man with ADHD, and lack of a meaningful meaningful plot.",negative
"Oh my God, I was so expecting something more entertaining than this when I downloaded this movie, seeing as 1903 was one of my fave years for movies ever, but it sucked! The ""plot"", although I'd hesitate to call it that, is about some dumb elephant. It slowly makes its way onto some platform and gets electrocuted to death. Lame. Even for a short film, the plot was too thin to keep my attention. Edison is, like, the worst director ever. Plus, the elephant has no screen presence whatsoever. And the ending? Wow, that wasn't predictable at all. *sarcasm*The picture quality is horrible too. You can barely tell what's going on most of the time. The only positive thing about this movie is that unlike most other un-scary horror flicks this didn't spawn eleven sequels. Other than that this is a complete waste of money and 1 minute of your life you'll never get back.",negative
"I found this to be a watchable all be it very predictable movie. There was some good stunt work that gave a fair degree of excitement and suspense to the story. One did however have to suspend ones credulity on a number of occasions for the plot to work. For example despite losing their transfer cable, couplings and harness when the pilot retracted the undercarriage manually, they fortunately found a spare on-board the aircraft complete with Caribbeans. According to the plot drilling a hole in the ceiling of the vault would disable the alarm system in the vault when the system was reactivated (I can't think why), according to Daltry there battery operated drill would be unable to drill through the vault ceiling however they just happened to have a hydraulic drill complete with hoses and fittings to fit the equally convenient take off points in the planes hydraulic system located above the vault. As the plane has a closed hydraulic system it is hard to see how this could be accomplished without affecting the control systems or at least setting hydraulic pressure alarms in the cockpit. Accepting this for the sake of the plot it takes them several minutes to drill a small hole through the top of the vault (tension will they be able to drill through before FED's get there to check the false alarm), yet from the time the vault door closed and before the FED's had walked the few feet to the second security door they had cut a squire hole in the roof of the vault big enough for them to get through. One can accept all theses and other inconsistencies for the sake of a good yarn, however what spoiled the movie for me was when what appears to have been an effort by the script writers to discuses what up to that point was a fairly predictable ending, they killed off the two hero's (If one can refer to crocks as hero's) Ketchum & Brooks one was shot and thrown out of a 747 at 10,000 feet the other wiliest sliding down the cable between the two planes the villain Daltry with one hand manages to unhook the cable carrying the weight of a full grown man with the air pressure of several hundred miles per hour pressing on him, and letting him fall to his death. And yet in the next sequence these two without any kind of explanation (however tenuous or implausible) have miraculously survived the full from 10.000 feet and had time to set up an elaborate scam to get the money. The only comment on there survival was to Sophie that her brother is a bad shot. Don't expect an Oscar nomination for this one.",negative
"Utter dreck. I got to the 16 minute/27 second point, and gave up. I'd have given it a negative number review if that were possible (although 'pissible' is a more fitting word...). Unlike the sizzle you could see and practically feel between MacMurray and Stanwyck in the original, the chemistry between dumb ol' Dicky Crenna and whats-her-face here is just non-existent. The anklet becomes an unattractive chunky bracelet? There's no ciggy-lighting-by-fingertip? And I thought I'd be SICK when they have a mortified-looking (and rightly so, believe you me) Lee J. Cobb as Keyes practically burping/upchucking his way through the explanation of his ""Little Man"" to Mr. Garloupis. No offence to the non-sighted, but it looks as though a posse of blind men ran amuck with the set design of both the Dietrichson and Neff houses. The same goes for those horrid plaid pants that Phyllis wears. And crikey, how much $$ does Neff make, that he lives overlooking a huge marina? This, folks, again, all takes place in the first 16 and a half minutes. If you can get through more of it, you have a much stronger constitution than me, or you are a masochist. But please, take some Alka-Seltzer first, or you WILL develop a ""little man"" of your own that may never go away. Proceed with caution, obviously.",negative
"Alicia Silverstone (pre-""Clueless"") plays a modern-day crime-obsessed teenager attempting to solve the brutal slaying of a local girl. Pat Verducci wrote and directed this B-flick, which isn't especially well-made but is however surprisingly serious-minded in regards to its leading character. Silverstone is appealing and successful in carving out an interesting young woman here, despite the picture's kitschy undermining. The supporting cast (including Kevin Dillon and Michael Bowen) isn't bad, though the violence in the last act goes overboard. Not a cheesy camp-fest, but nothing exceptionally memorable either. *1/2 from ****",negative
"The first half of this movie is a pure delight. Novel. Funny. Wonderful performances. A close knit brother and sister living in Manhattan fall for the same woman! Adult. Bright. Witty. What more could you ask. As a romantic comedy this starts refreshing. It heads into unexplored territory. And then it falls apart.It goes from being a universal adult comedy to a coming-of-age coming-out-of-the-closet story that has been done many times before. What a disappointment. As a people film it begins with such promise. Why does it need to turn into such a pedestrian ""I am who I am"" film. The freeze-frame ending shot of Heather Graham's jumping in the air to celebrate ""her happiness at finding herself"" underlines the banality of the last part of the film.It could have been different. It could have been magical. It ended up being the same old same old.",negative
"Sam Mraovich should never be allowed to touch a camera again. If he does he should be arrested on the spot...at the very least for petty larceny. Anybody who pays even a dime to rent any of his garbage should file a claim and be compensated. This was innocently my first viewing of his ""work""...and it will my last. Ed Wood looks awfully good to me right now.When I return this piece of crap to the video store, I will personally ask that it be taken off the shelf. An active supporter of gay cinema, I am incensed and angered that this warped, exceedingly untalented man-child be allowed to distribute and package something like this, with a coltish pretty boy on the cover (Jamie Brett Gabel, who, thankfully, has no other acting credits in IMDb) and an interesting synopsis on the back used as bait, and then market it as a ""movie"" rental. Trust me, this has no place being on any rack anywhere; it is simply not a movie in any sense of the word. Offensive, irresponsible junk such as this can only be detrimental to the efforts being made to promote and support gay cinema (hell, gay rights in general!) For those tempting to rent this out because of the cover, you WILL be disappointed. Gabel is not as flattering to look at on film as he is on the cover, and he appears once or twice without a shirt -- that's it. Instead, the homely Mroavich inflicts on us his own disgusting, sorry-looking dough-boy nakedness.This ""thing"" he ""assembled"" is a reverse vanity project for Mraovich. Both he and his friend Michael Habousch (who, I understand, puts out similar sleazy garbage) are terrible in this. Mraovich is purposely posing as a complete no-talent (in all fields), desperate to grab onto any ""loser"" attention he can for himself. He is to be pitied.",negative
"Despite the fact that he worked for the worst government of the 20th century, Erwin Rommel is generally well-regarded by historians and World War II buffs as a gentleman, a soldier's soldier, and a brilliant tactician in the field of mechanized warfare. If only Hitler had given him the troops and materiel he had desired in Africa, the argument goes, things would have gone very differently. And that's probably true. Rommel was, in fact, a military genius, and by all accounts an upstanding, honest man.But this film goes out of its way to portray him as a near-saint. He does his job, trying to win the war for Hitler, but constantly the Fuhrer interferes and gives him ridiculous orders, which Rommel (James Mason) expresses amazement with but rarely actually questions and never, ever disobeys. Only when it's patently obvious that Hitler is leading Germany to ruin does Rommel think of treason against him; this dilemma plays out as the main theme of the film, a good man in bad circumstances trying to do the right thing.Mason is fine as Rommel, but it's hardly a memorable performance along the lines of, say, George C. Scott as Patton. Of course, Rommel wasn't as colorful as Patton, but this film is so intent on making him look like a decent human being that it forgets to make him interesting. He occasionally lapses into some warmth when with his wife Lucie (a young Jessica Tandy, well-cast), but usually Mason is called upon to give a stiff British performance Â– as if the Brits were trying to claim Rommel for themselves (though in all fairness all the Nazis have English accents except Hitler).Done on the cheap, with any battle scenes swiping stock footage, and the beaches of southern California doubling for Tunisia, there's nothing to particularly recommend this film. A remake could be interesting (I'd pick Ed Harris only because of a slight physical resemblance and, well, Harris can act) were it spiced up a little, but this movie mostly demonstrated to me how much more demanding we as viewers have become in the last fifty years; a biography this bland would never cut it any more.",negative
"Tyra & the rest of the modeling world needs to know that real women like myself and my daughter don't care to see all the ridiculous modeling to sell something. Weird locations, too much makeup & too much skin is not necessary. Sex does not always sell when you are selling to women. The same goes for the horse stomping runway walk that looks unnatural. People come in all shapes & sizes & they need to have that on the show. My daughter has a 36"" inseam, is tall & slender & a size 5, I am more average at a size 12. We would like to see both- I can not picture how something would look on me when a size 2 is wearing it, it will not fit the same way on me. I do not buy magazines anymore because they are one sided on this matter. We would really love the show to consider women of all sizes. Thank you.",negative
